"site number","site location","cluster","site acronym","arsenic (ug/L)","perchlorate (ug/L)","date","BDL" 
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",5.1,NA,2010-02-01,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.8,NA,2010-02-01,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.3,NA,2010-02-01,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2010-02-01,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",NA,NA,2010-02-01,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",NA,NA,2010-02-01,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.3,NA,2010-02-01,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0.4,NA,2010-02-01,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",NA,NA,2010-02-01,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",14.8,NA,2010-02-01,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5.2,NA,2010-02-01,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",5.8,NA,2010-02-01,NA
"R25","verde river at beeline highway","verde","verde @ beeline",7.3,NA,2010-02-01,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2.8,NA,2010-02-01,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.5,NA,2010-02-01,NA
"R3","Waddell Canal","cap","waddell canal",1.6,NA,2010-02-01,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",7.7,NA,2010-02-01,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",8.7,NA,2010-02-01,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.8,NA,2010-02-01,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",4.1,NA,2010-02-01,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3.7,NA,2010-02-01,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2,NA,2010-02-01,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","SPT In",4.8,NA,2010-02-01,NA
"SPT Out","Tempe's South Plant treated water","tempe","SPT Out",1.7,NA,2010-02-01,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",1.4,NA,2010-02-01,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2010-02-01,NA
"Glen In","Glen In","srp","Glen In",4.8,NA,2010-03-01,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",NA,NA,2010-03-01,NA
"Green In","Greenway WTP Inlet","srp","Green In",NA,NA,2010-03-01,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",NA,NA,2010-03-01,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",4,NA,2010-03-01,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",4.7,NA,2010-03-01,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",5,NA,2010-03-01,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2010-03-01,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2010-03-01,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",5.1,NA,2010-03-01,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3,NA,2010-03-01,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2010-03-01,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",4.6,NA,2010-03-01,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.7,NA,2010-03-01,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5.5,NA,2010-03-01,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0.2,NA,2010-03-01,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4.5,NA,2010-03-01,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",NA,NA,2010-03-01,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",5.1,NA,2010-03-01,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0.5,NA,2010-03-01,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",2.6,NA,2010-03-01,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",7.3,NA,2010-03-01,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5.2,NA,2010-03-01,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",5.1,NA,2010-03-01,NA
"R25","verde river at beeline highway","verde","verde @ beeline",6.5,NA,2010-03-01,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2.7,NA,2010-03-01,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.7,NA,2010-03-01,NA
"R3","Waddell Canal","cap","waddell canal",2.1,NA,2010-03-01,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",7.2,NA,2010-03-01,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",7.2,NA,2010-03-01,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.7,NA,2010-03-01,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.8,NA,2010-03-01,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3.3,NA,2010-03-01,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",NA,NA,2010-03-01,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","SPT In",5,NA,2010-03-01,NA
"SPT Out","Tempe's South Plant treated water","tempe","SPT Out",0.3,NA,2010-03-01,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",1.7,NA,2010-03-01,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2010-03-01,NA
"Glen In","Glen In","srp","Glen In",5.4,NA,2010-04-05,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",1.7,NA,2010-04-05,NA
"Green In","Greenway WTP Inlet","srp","Green In",5,NA,2010-04-05,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",0.7,NA,2010-04-05,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.6,NA,2010-04-05,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",4.3,NA,2010-04-05,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.9,NA,2010-04-05,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",NA,NA,2010-04-05,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",NA,NA,2010-04-05,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",5.2,NA,2010-04-05,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.1,NA,2010-04-05,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2010-04-05,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",4.8,NA,2010-04-05,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.8,NA,2010-04-05,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",5,NA,2010-04-05,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0,NA,2010-04-05,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",5.3,NA,2010-04-05,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",NA,NA,2010-04-05,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.6,NA,2010-04-05,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",NA,NA,2010-04-05,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",0,NA,2010-04-05,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,NA,2010-04-05,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5.2,NA,2010-04-05,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",5,NA,2010-04-05,NA
"R25","verde river at beeline highway","verde","verde @ beeline",7.1,NA,2010-04-05,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2.8,NA,2010-04-05,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.9,NA,2010-04-05,NA
"R3","Waddell Canal","cap","waddell canal",2.4,NA,2010-04-05,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",6.6,NA,2010-04-05,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",6.5,NA,2010-04-05,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.3,NA,2010-04-05,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",2.9,NA,2010-04-05,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3.1,NA,2010-04-05,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",4.7,NA,2010-04-05,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","SPT In",4.8,NA,2010-04-05,NA
"SPT Out","Tempe's South Plant treated water","tempe","SPT Out",0.5,NA,2010-04-05,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",2,NA,2010-04-05,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2010-04-05,NA
"Glen In","Glen In","srp","Glen In",3.6,NA,2010-05-03,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",1.2,NA,2010-05-03,NA
"Green In","Greenway WTP Inlet","srp","Green In",3.8,NA,2010-05-03,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",1.3,NA,2010-05-03,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",1.4,NA,2010-05-03,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",3.3,NA,2010-05-03,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",3.1,NA,2010-05-03,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",3,NA,2010-05-03,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",1.5,NA,2010-05-03,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",3.4,NA,2010-05-03,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2.6,NA,2010-05-03,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2010-05-03,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",3,NA,2010-05-03,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",3.2,NA,2010-05-03,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",NA,NA,2010-05-03,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",NA,NA,2010-05-03,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",3.6,NA,2010-05-03,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",NA,NA,2010-05-03,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",NA,NA,2010-05-03,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",NA,NA,2010-05-03,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",NA,NA,2010-05-03,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",NA,NA,2010-05-03,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",NA,NA,2010-05-03,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",3.2,NA,2010-05-03,NA
"R25","verde river at beeline highway","verde","verde @ beeline",NA,NA,2010-05-03,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2,NA,2010-05-03,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.9,NA,2010-05-03,NA
"R3","Waddell Canal","cap","waddell canal",1.7,NA,2010-05-03,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",6.7,NA,2010-05-03,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",6.3,NA,2010-05-03,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2.4,NA,2010-05-03,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",2.3,NA,2010-05-03,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2.3,NA,2010-05-03,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",3.4,NA,2010-05-03,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","SPT In",3.1,NA,2010-05-03,NA
"SPT Out","Tempe's South Plant treated water","tempe","SPT Out",0.8,NA,2010-05-03,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",1.5,NA,2010-05-03,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0.1,NA,2010-05-03,NA
"Glen In","Glen In","srp","Glen In",3.5,NA,2010-05-28,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",1.2,NA,2010-05-28,NA
"Green In","Greenway WTP Inlet","srp","Green In",3.4,NA,2010-05-28,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",0.7,NA,2010-05-28,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",NA,NA,2010-05-28,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2.6,NA,2010-05-28,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2.9,NA,2010-05-28,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",3.3,NA,2010-05-28,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",1.2,NA,2010-05-28,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2.6,NA,2010-05-28,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2.6,NA,2010-05-28,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2010-05-28,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",NA,NA,2010-05-28,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",3.4,NA,2010-05-28,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",3.3,NA,2010-05-28,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0.8,NA,2010-05-28,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",3.3,NA,2010-05-28,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0.5,NA,2010-05-28,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",2.7,NA,2010-05-28,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0.7,NA,2010-05-28,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",0.3,NA,2010-05-28,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",17.8,NA,2010-05-28,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",3.2,NA,2010-05-28,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",3.1,NA,2010-05-28,NA
"R25","verde river at beeline highway","verde","verde @ beeline",NA,NA,2010-05-28,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2.7,NA,2010-05-28,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.8,NA,2010-05-28,NA
"R3","Waddell Canal","cap","waddell canal",1.3,NA,2010-05-28,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",5.7,NA,2010-05-28,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",6.4,NA,2010-05-28,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",2.7,NA,2010-05-28,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",2.6,NA,2010-05-28,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",2.4,NA,2010-05-28,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",3.4,NA,2010-05-28,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","SPT In",3,NA,2010-05-28,NA
"SPT Out","Tempe's South Plant treated water","tempe","SPT Out",1.2,NA,2010-05-28,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",1.2,NA,2010-05-28,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2010-05-28,NA
"Glen In","Glen In","srp","Glen In",3.8,NA,2010-07-01,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",1.5,NA,2010-07-01,NA
"Green In","Greenway WTP Inlet","srp","Green In",4.2,NA,2010-07-01,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2.4,NA,2010-07-01,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",NA,NA,2010-07-01,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",4.1,NA,2010-07-01,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",4.1,NA,2010-07-01,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.7,NA,2010-07-01,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",1.7,NA,2010-07-01,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",NA,NA,2010-07-01,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",3.1,NA,2010-07-01,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2010-07-01,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",NA,NA,2010-07-01,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.3,NA,2010-07-01,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.7,NA,2010-07-01,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",0.8,NA,2010-07-01,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",3.9,NA,2010-07-01,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0.4,NA,2010-07-01,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.4,NA,2010-07-01,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0.7,NA,2010-07-01,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",0.3,NA,2010-07-01,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",21.8,NA,2010-07-01,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",4.3,NA,2010-07-01,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",4.8,NA,2010-07-01,NA
"R25","verde river at beeline highway","verde","verde @ beeline",5.7,NA,2010-07-01,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3,NA,2010-07-01,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.3,NA,2010-07-01,NA
"R3","Waddell Canal","cap","waddell canal",2.2,NA,2010-07-01,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",6.4,NA,2010-07-01,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",5.1,NA,2010-07-01,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.1,NA,2010-07-01,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.5,NA,2010-07-01,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",3,NA,2010-07-01,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",4.3,NA,2010-07-01,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","SPT In",4.2,NA,2010-07-01,NA
"SPT Out","Tempe's South Plant treated water","tempe","SPT Out",2.6,NA,2010-07-01,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",NA,NA,2010-07-01,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",NA,NA,2010-07-01,NA
"Glen In","Glen In","srp","Glen In",4.9,NA,2010-08-01,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",2.4,NA,2010-08-01,NA
"Green In","Greenway WTP Inlet","srp","Green In",NA,NA,2010-08-01,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",NA,NA,2010-08-01,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",4.3,NA,2010-08-01,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",NA,NA,2010-08-01,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",NA,NA,2010-08-01,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.9,NA,2010-08-01,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",1.6,NA,2010-08-01,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",NA,NA,2010-08-01,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2.8,NA,2010-08-01,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2010-08-01,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",NA,NA,2010-08-01,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",4.1,NA,2010-08-01,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.8,NA,2010-08-01,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",1.4,NA,2010-08-01,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",NA,NA,2010-08-01,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",NA,NA,2010-08-01,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",NA,NA,2010-08-01,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",NA,NA,2010-08-01,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",NA,NA,2010-08-01,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",21.4,NA,2010-08-01,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",NA,NA,2010-08-01,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",NA,NA,2010-08-01,NA
"R25","verde river at beeline highway","verde","verde @ beeline",6,NA,2010-08-01,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",2.3,NA,2010-08-01,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",2.7,NA,2010-08-01,NA
"R3","Waddell Canal","cap","waddell canal",2.2,NA,2010-08-01,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",5.2,NA,2010-08-01,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",4.4,NA,2010-08-01,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",3.2,NA,2010-08-01,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.4,NA,2010-08-01,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",NA,NA,2010-08-01,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2.8,NA,2010-08-01,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","SPT In",NA,NA,2010-08-01,NA
"SPT Out","Tempe's South Plant treated water","tempe","SPT Out",NA,NA,2010-08-01,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",NA,NA,2010-08-01,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",NA,NA,2010-08-01,NA
"Glen In","Glen In","srp","Glen In",NA,NA,2010-09-01,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",NA,NA,2010-09-01,NA
"Green In","Greenway WTP Inlet","srp","Green In",3.1,NA,2010-09-01,NA
"Green Out","Greenway WTP Outlet","srp","Green Out",2.6,NA,2010-09-01,NA
"Havasu 1","Havasu lake Sample",NA,"Havasu 1",2.1,NA,2010-09-01,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",5.5,NA,2010-09-01,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",5.7,NA,2010-09-01,NA
"NP In","Cross-Cut Canal - Inlet to Tempe's North Plant","tempe","North plant inlet",4.5,NA,2010-09-01,NA
"NP Out","Tempe's North Plant treated water","tempe","north plant outlet",2.6,NA,2010-09-01,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",NA,NA,2010-09-01,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro",2.8,NA,2010-09-01,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",NA,NA,2010-09-01,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",NA,NA,2010-09-01,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",3.1,NA,2010-09-01,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak",4.7,NA,2010-09-01,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated",1.8,NA,2010-09-01,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley",4.9,NA,2010-09-01,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated",0.4,NA,2010-09-01,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista",4.8,NA,2010-09-01,NA
"R19","Val Vista WTP treated water","srp","val vista-treated",0.6,NA,2010-09-01,NA
"R19","Val Vista WTP treated water-West","srp","val vista-treated-West",0.4,NA,2010-09-01,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe",22.2,NA,2010-09-01,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",5.5,NA,2010-09-01,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",5.7,NA,2010-09-01,NA
"R25","verde river at beeline highway","verde","verde @ beeline",4.1,NA,2010-09-01,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi",3,NA,2010-09-01,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo",3.4,NA,2010-09-01,NA
"R3","Waddell Canal","cap","waddell canal",2.3,NA,2010-09-01,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi",6.1,NA,2010-09-01,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo",9,NA,2010-09-01,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi",7.7,NA,2010-09-01,NA
"R9A-Dup","Saguaro Lake near inlet",NA,"saguaro-epi dup",3.4,NA,2010-09-01,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo",NA,NA,2010-09-01,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",5.4,NA,2010-09-01,NA
"SPT In","Tempe Canal - Inlet to Tempe's South Plant","tempe","SPT In",5,NA,2010-09-01,NA
"SPT Out","Tempe's South Plant treated water","tempe","SPT Out",2.5,NA,2010-09-01,NA
"UH In","Union Hills Inlet","cap","Union Hills Inlet",NA,NA,2010-09-01,NA
"UH Out","Union Hills Treated Water","cap","Union Hills Outlet",0,NA,2010-09-01,NA
"Glen In","Glen In","srp","Glen In",1.4,NA,2010-10-01,NA
"Glen Out","Glendale WTP Outlet","srp","Glen Out",1.8,NA,2010-10-01,NA
"Green In","Greenway WTP Inlet","srp","Green In",4.5,NA,2010-10-01,NA
