"site number","site location","cluster","site acronym","date","e_coli","coliform","mycobacterium","mycobacterium_flag","Comments"
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-06-13,42,1253,56,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-07-22,34,1189,32,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-07-22,18,456,28,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-07-22,NA,NA,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-07-22,25,532,39,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-07-22,12,348,19,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-07-22,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-07-22,NA,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-07-22,NA,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-07-22,27,273,29,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-07-22,NA,NA,14,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-07-22,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-07-22,14,620,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-07-22,NA,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-08-19,12,869,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-08-19,12,732,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-08-19,11,672,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-08-19,9,452,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-08-19,11,512,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-08-19,18,931,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-08-19,28,762,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-08-19,24,448,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-08-19,10,582,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-08-19,5,468,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-08-19,16,648,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-08-19,3,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-08-19,16,546,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-09-24,35,684,19,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-09-24,NA,823,14,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-09-24,76,NA,18,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-09-24,29,541,8,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-09-24,32,NA,26,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-09-24,63,564,NA,"TFTC",NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-09-24,76,567,NA,"TFTC",NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-09-24,NA,621,21,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-09-24,NA,45,NA,"TFTC",NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-09-24,42,768,11,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-09-24,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-09-24,64,437,NA,"TFTC",NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-09-24,243,700,12,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-10-21,47,632,34,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-10-21,16,712,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-10-21,77,486,33,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-10-21,NA,224,20,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-10-21,43,NA,43,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-10-21,42,332,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-10-21,57,386,56,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-10-21,375,354,61,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-10-21,26,468,NA,"TNTC",NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-10-21,83,674,36,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-10-21,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-10-21,243,213,NA,"TFTC",NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-10-21,78,NA,46,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-11-25,14,218,63,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-11-25,NA,NA,6,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-11-25,31,329,65,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-11-25,NA,NA,25,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-11-25,23,317,9,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-11-25,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-11-25,47,541,36,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-11-25,236,147,NA,"TFTC",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-11-25,67,NA,14,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-11-25,42,336,78,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-11-25,NA,NA,14,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-11-25,NA,765,11,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-11-25,187,264,NA,"TFTC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2019-12-16,32,364,63,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2019-12-16,28,421,6,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2019-12-16,186,365,65,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2019-12-16,97,398,25,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2019-12-16,NA,NA,9,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2019-12-16,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2019-12-16,75,476,36,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2019-12-16,48,574,NA,"TFTC",NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2019-12-16,112,476,14,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2019-12-16,31,424,78,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2019-12-16,107,636,14,NA,NA
"R3","Waddell Canal","cap","waddell canal",2019-12-16,NA,NA,11,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2019-12-16,65,397,NA,"TFTC",NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2020-01-01,NA,NA,NA,"NR",NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2020-01-01,560,28,2,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2020-01-01,200,620,72,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2020-01-01,21,190,NA,"NR",NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2020-01-01,70,480,98,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2020-01-01,19,135,NA,"NR",NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2020-01-01,23,156,56,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2020-01-01,220,NA,23,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2020-01-01,37,436,NA,"NR",NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2020-01-01,NA,NA,NA,"NR",NA
"R25","verde river at beeline highway","verde","verde @ beeline",2020-01-01,NA,NA,34,NA,NA
"R3","Waddell Canal","cap","waddell canal",2020-01-01,13,310,8,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2020-01-01,480,NA,43,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2020-05-01,32,470,9,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2020-05-01,35,722,27,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2020-05-01,22,NA,7,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2020-05-01,42,247,11,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2020-05-01,15,130,19,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2020-05-01,8,NA,14,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2020-05-01,16,NA,6,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2020-05-01,21,611,8,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2020-05-01,36,342,18,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2020-05-01,37,980,2,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2020-05-01,57,820,20,NA,NA
"R3","Waddell Canal","cap","waddell canal",2020-05-01,10,132,4,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2020-05-01,41,NA,10,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2020-06-01,62,920,9,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2020-06-01,57,NA,24,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2020-06-01,NA,NA,15,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2020-06-01,400,194,15,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2020-06-01,26,492,25,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2020-06-01,NA,NA,20,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2020-06-01,31,391,17,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2020-06-01,75,420,21,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2020-06-01,90,NA,17,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2020-06-01,160,NA,9,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2020-06-01,47,120,19,NA,NA
"R3","Waddell Canal","cap","waddell canal",2020-06-01,46,300,25,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2020-06-01,51,320,13,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2020-07-01,75,220,32,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2020-07-01,40,204,29,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2020-07-01,124,268,23,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2020-07-01,70,416,8,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2020-07-01,42,290,21,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2020-07-01,225,NA,9,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2020-07-01,20,424,21,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2020-07-01,58,364,29,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2020-07-01,68,376,27,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2020-07-01,51,420,23,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2020-07-01,95,460,9,NA,NA
"R3","Waddell Canal","cap","waddell canal",2020-07-01,102,160,11,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2020-07-01,109,224,19,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2020-08-01,420,826,21,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2020-08-01,300,776,8,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2020-08-01,353,NA,11,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2020-08-01,20,870,14,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2020-08-01,390,NA,12,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2020-08-01,44,580,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2020-08-01,154,810,9,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2020-08-01,370,NA,33,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2020-08-01,340,560,22,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2020-08-01,475,NA,20,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2020-08-01,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2020-08-01,8,360,20,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2020-08-01,204,NA,21,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2020-09-01,16,292,9,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2020-09-01,11,310,17,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2020-09-01,27,NA,13,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2020-09-01,6,360,15,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2020-09-01,17,NA,17,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2020-09-01,NA,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2020-09-01,39,NA,7,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2020-09-01,24,460,21,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2020-09-01,25,NA,10,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2020-09-01,14,426,11,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2020-09-01,NA,NA,29,NA,NA
"R3","Waddell Canal","cap","waddell canal",2020-09-01,9,310,19,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2020-09-01,22,120,18,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2020-10-01,32,380,23,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2020-10-01,12,320,18,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2020-10-01,75,650,45,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2020-10-01,75,380,12,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2020-10-01,NA,NA,30,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2020-10-01,NA,NA,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2020-10-01,62,550,12,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2020-10-01,67,555,0,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2020-10-01,80,450,12,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2020-10-01,80,NA,33,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2020-10-01,15,250,15,NA,NA
"R3","Waddell Canal","cap","waddell canal",2020-10-01,90,NA,0,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2020-10-01,NA,NA,5,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2020-11-01,420,280,34,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2020-11-01,71,712,31,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2020-11-01,NA,NA,NA,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2020-11-01,112,760,42,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2020-11-01,230,650,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2020-11-01,120,320,21,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2020-11-01,100,400,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2020-11-01,163,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2020-11-01,NA,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2020-11-01,NA,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2020-11-01,NA,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2020-11-01,112,NA,23,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2020-11-01,225,881,43,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-01-01,365,78,26,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-01-01,198,69,4,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-01-01,NA,NA,4,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-01-01,120,55,12,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-01-01,NA,NA,13,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-01-01,154,55,89,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-01-01,NA,NA,53,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-01-01,NA,NA,8,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-01-01,NA,NA,16,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-01-01,NA,NA,0,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-01-01,NA,NA,8,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-01-01,123,211,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-01-01,269,223,18,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-02-01,89,376,15,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-02-01,66,318,9,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-02-01,220,420,11,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-02-01,124,398,7,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-02-01,53,278,5,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-02-01,176,432,5,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-02-01,95,298,9,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-02-01,154,312,23,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-02-01,60,329,18,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-02-01,127,298,9,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-02-01,276,NA,19,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-02-01,NA,NA,22,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-02-01,112,300,45,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-03-01,88,345,43,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-03-01,89,220,32,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-03-01,154,322,17,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-03-01,158,288,26,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-03-01,60,180,41,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-03-01,98,230,29,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-03-01,80,158,16,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-03-01,130,276,18,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-03-01,130,260,43,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-03-01,180,300,39,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-03-01,250,360,15,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-03-01,120,225,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-03-01,230,270,21,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-04-01,122,1103,48,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-04-01,116,1077,36,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-04-01,19,761,23,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-04-01,103,307,38,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-04-01,24,1190,54,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-04-01,68,638,36,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-04-01,16,549,25,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-04-01,40,413,24,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-04-01,131,1024,23,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-04-01,68,1122,63,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-04-01,43,821,23,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-04-01,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-04-01,12,968,16,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-05-01,128,729,22,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-05-01,134,855,12,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-05-01,44,345,17,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-05-01,112,408,53,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-05-01,33,890,31,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-05-01,98,533,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-05-01,56,410,24,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-05-01,65,467,33,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-05-01,112,786,45,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-05-01,53,566,22,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-05-01,97,590,79,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-05-01,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-05-01,62,877,22,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-06-01,155,700,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-06-01,117,588,9,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-06-01,56,324,0,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-06-01,87,408,1,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2021-06-01,54,459,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2021-06-01,NA,NA,0,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2021-06-01,41,512,6,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2021-06-01,89,567,13,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2021-06-01,29,675,0,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2021-06-01,37,543,10,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2021-06-01,135,967,9,NA,NA
"R3","Waddell Canal","cap","waddell canal",2021-06-01,NA,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2021-06-01,56,534,5,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2021-07-01,NA,NA,32,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2021-07-01,NA,NA,29,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2021-07-01,236,894,23,NA,"Counted Mycobacterium samples after 2 week incubation"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2021-07-01,341,88,8,NA,NA
